序号,常见问题,可报类别,标准答案,问题情况,备注
15,如何对学位申请房进行解锁？,,市民可在松山湖入学管理平台“家庭户学位申请房锁定查询”功能板块中，进行房产锁定的查询；如果房产被锁定，在房产锁定查询结果同一个页面，点击“申请解锁”即可跳转到房产学位解锁申请页面。按照页面提示，如符合解锁条件，填写相关栏位和上传所需资料，填写完成后点击“保存”等待审核后解锁。,新增,
16,我的房子被锁定了学位，要如何处理？,,"1、房产被锁定期间，如有新的家庭入户到该房产，新入户家庭的适龄学童可以申请园区义务教育阶段公办学位，但不能申请已锁定学校同一学段的学位，其就读学校由园区实行统筹安排。
2、符合以下条件的可以申请解锁：
（一）被录取后未入读园区锁定学校；
（二）在读园区锁定学校的家庭户学童转出松山湖外就读，不再继续使用园区义务教育阶段公办学校学位；
（三）在制度实施前，房产已过户到第二个家庭，或第二家庭已入户到该房产的。
（四）其他符合解锁的条件。",新增,
17,什么情况下房产会被锁定？,,松山湖A1家庭户户籍学童，子女入读后园区实行学位房锁定制度的学校，入读后房产即被锁定。,新增,
18,A类：我听说读东华幼儿园可以直升小学是吗？如果我今年没有报名幼儿园小班，明年可以重新报名吗？,,现在民办招生不存在直升了。目前幼儿只针对小班招生（删除）。今年幼儿园小班为：2019年9月1日-2020年8月31日（含）出生的小孩。,新增,松山湖公办幼儿园目前幼儿只针对小班招生。（根据2023年政策安排，看是否开设中班或大班）
19,B3类会公布排名吗？根据排名安排学校吗？,,可参考往年安排只公布分数线，不公布排名。学位安排跟B2和单位集体户A2类（非礼宾路2号集体户）一起，根据学位供给、工作情况、居住地址、积分排名等因素统筹安排到园区及周边公民办学校。如果一个企业（单位）有多名员工子女入读同一个年级，采取“数量分配+自行安排”的方式，假设某企业（单位）有10个小学一年级需求，直接分配A学校3个+B学校3个+C学校4个，由企业（单位）根据抽签等方式自行妥善安排学位,新增,
20,B1要求在该企业工作满一年，是按什么时间计算？,,要求申请人在该企业工作时间达到《东莞市高端人才和企业人才子女入学实施办法》有关要求。原则上只用于安排在本企业缴纳社保满 1 年（计算至当年 8 月 31 日）及以上的企业（机构）高管和技术骨干子女入学,新增,
21,A2，B类提交报名申请后需要做什么工作？,,需留意审批情况及后续积分排名等，企业需在规定时间内审核，才能成功提交报名。建议关注“创新松山湖”、“乐享松山湖”“松山湖市民中心”公众号随时了解最新咨询，咨询松山湖招生服务热线：0769-38881212咨询了解。,新增,
22,哪种类型所在的单位需注册单位账号？,,A2、B类人员个人报名前，所在单位需在“松山湖入学管理平台”上注册帐号或更新帐号信息（已有帐号）,新增,
23,如何申请企业账号？,,"一、注册及信息更新时间和申请网址
（一）线下提交资料时间及网上信息更新时间：2024年4月16日至2024年报名结束。
（二）申请网址：https://sslzs.dg.cn
二、单位账号注册
（一）对象：未在松山湖入学管理平台申请账号的单位
（二）注册流程
1. 现场提交以下三项资料到松山湖教育管理中心：
（1）松山湖入学管理平台企事业单位账号注册申请表（附件2）；
（2）统一社会信用代码证复印件加盖公章（手写标注最新日期）；
（3）招生管理员身份证复印件加盖公章。
2. 教育管理中心审核资料，开通账号，以短信方式把账号密码发送至招生管理员手机；
3. 招生管理员登录招生系统补充完整单位信息及资料，并提交审核；
三、单位原账号信息更新
（一）对象：在松山湖入学管理平台已有账号的单位
（二）流程
1. 单位招生管理员变更，现场提交资料按“二、单位账号注册（二）注册流程”中的三项资料提交。现场提交资料后，待收到新的账号密码后登录松山湖入学管理平台，进行2024年度单位信息的更新。单位法人变更，现场提交资料后，使用原账号登录松山湖入学管理平台，进行2024年度单位信息的更新。
2. 单位基本信息更新（如办公地址、经营范围等），由招生管理员自行登录松山湖入学管理平台，将企业信息更新至当年最新，系统上传“二、单位账号注册（二）注册流程”中的第1、2项资料，不用现场提交，但必须登录系统上传盖章版资料。
注：若变更招生管理员，原账号将失效。",新增,
24,申请注册开通企业账号后，管理员需要做什么？,,"1、企业管理员需在规定时间内登录“松山湖入学管理平台”进行2024年度单位信息的更新。对单位员工个人的报名信息及资格进行审核，并提交教育部门审核；
2、教育部门审核完后，单位在系统中打印《2024年松山湖中小学、幼儿园入学信息表》，并由负责人签名加盖单位公章，在规定时间内交纸质资料到松山湖市民中心入学咨询窗口。该表须在报名系统中生成，若自行填写无效，单位户籍人员纳入此表。",新增,时间待更新和确认。
25,A2或B类：登录报名保存后无法进行下一步操作？或者家长已经选择公司单位，却一直提醒需选择工作单位。,,"A2、B类人员个人报名前，所在单位需在“松山湖入学管理平台”上注册帐号或更新帐号信息（已有帐号），个人才可以报名。
1. 单位招生管理员变更，现场提交资料按“二、单位账号注册（二）注册流程”中的三项资料提交。现场提交资料后，待收到新的账号密码后登录松山湖入学管理平台，进行2024年度单位信息的更新。单位法人变更，现场提交资料后，使用原账号登录松山湖入学管理平台，进行2024年度单位信息的更新。
2. 单位基本信息更新（如办公地址、经营范围等），由招生管理员自行登录松山湖入学管理平台，将企业信息更新至当年最新，系统上传“二、单位账号注册（二）注册流程”中的第1、2项资料，不用现场提交，但必须登录系统上传盖章版资料。
注：若变更招生管理员，原账号将失效。
详情以每年的招生文件为准。
",新增,
26,小孩非东莞户籍，家长是东莞户籍，父母都不在松山湖工作，可以申请在松山湖入读一年级吗？,C类（东莞市积分制入学）,"根据情况市民符合C类（东莞市积分制入学）。C类可选择以下其中一种方式作为“申请地”提出积分制入学申请。
（一）家长方现缴纳社保或缴纳税款所在的园区、镇（街
道）；
（二）家长方、或家长方配偶、或申请人本人在本市拥有
产权清晰的自有居所（即已办理房地产权证/不动产权证或购房
合同备案的住宅）所在的园区、镇（街道）；
（三）非东莞市户籍家长方有效《广东省居住证》或居住
登记信息表上现居住地址所在的园区、镇（街道）；
（四）东莞市户籍的家长方现户籍所在的园区、镇（街道）
",新增,
27,去年申请了自选民办补贴，今年还要重新申请吗？,,您好，去年申请自选民办成功，今年不需要再进行申领资格的申请。但是在领取补贴的时候需要登录松山湖申领补贴的平台申领。也咨询松山湖招生服务热线：0769-38881212咨询了解。,新增,
28,多子女入学调剂：我的大女儿现在在中心小学读3年级，我的小儿子申请一年级可以安排跟姐姐一个学校吗？,,已有子女安排在园区公办学位入读，且已入读子女目前在小学段1-3 年级（2024年9月为在读2-4年级），在学位安排后，若非在同一学校的，可以提出两孩异校调剂的申请，调剂原则为后入学子女跟随已入学子女的学校。调剂将依据园区总体的学位情况进行，若申请人数超过可调剂学位，采取抽签方式。,新增,
29,台湾籍：家长在松山湖工作，有合同，社保一直在台湾购买，可以在松山湖申请入读吗？,,社保及个税要求必须在所在单位缴纳，只有合同不能申请入学。,新增,
30,A1类，2021年实施学位锁定政策前，第二任房东从第一任房东中购买到中心区房产并已过户，第一任房东孩子还能在中心小学读书吗？第二任房东能否申请中心小学学位？,,在家庭户学学位房锁定制度实施前（2021年4月28日之前）房产已过户到第二个家庭，或第二家庭已入户到该房产的。”申请学位不受此锁定限制（即第一任房东的孩子（户籍依然在松山湖）可以继续就读，第二任房东也可以申请学位房解锁。,新增,已答复
31,A1类，我的房子属于中心区，是2020年购买并过户到我名下的，但前户主有小孩入读中心小学，我还能申请入读中心小学吗？,,根据《2021年松山湖中小学、幼儿园入学申请指南》，2021年4月28日起，松山湖辖区内义务教育阶段公办学校逐步实行学位申请房锁定制度，在制度实施前（2021年4月28日之前）房产已过户到第二个家庭，或第二家庭已入户到该房产的，申请学位不受此锁定限制。如查询被锁定，可向松山湖教育部门提出解锁申请。,新增,已答复
32,A1类，2021年4月28日后实施学位锁定政策后，第一任户主的孩子在读中心小学，若第二任户主也要申请，原户主的孩子会被如何安排？是否要让出学位？,,第二任业主无法申请学位解锁，第一任户主的孩子户籍未转出松山湖之前，依旧可以在中心就读。第二任户主小孩无法申请中心小学，学位有教育部门统筹安排。松山湖管委会将不定期对已在读学生的就读资格进行审核，如户籍迁走或者不在园区工作，将不能继续享受免费教育或补贴。,新增,已答复
33,B3类：企业单位符合第一点：在松山湖纳税满50万元人民币，个人为：大专学历且在该企业连续工作满5年。请问所在单位还需要再满足“所在企业为非房地产企业，2021年度产值超过50亿元或纳税满2000万元人民币。”这一点才能按B3申请吗？,,"本科以上学历在该企业连续工作满2年（截至2023年4月30日，下同）；
大专学历（或具有该企业相关的行业、岗位高级工技能证）且在该企业连续工作满5年，所在企业为非房地产企业，2022年度产值超过50亿元或纳税满2000万元人民币。（大专学历家长，所在企业为非房地产企业，企业需满足上一年度年值超过50亿元或纳税满2000万元人民币）",新增,
34,C类：申请地选择“松山湖”，同时申请“积分补贴”，申请的民办学校只要是东莞市内都可以领取补贴吗？,,从2023年秋季起，非户籍学生不再需要通过积分入学的方式获得学位补贴资格并确定补贴档次。在民办学校就读符合条件的非户籍学生在开学后，直接向就读的民办学校提出学位补贴申请，民办学校收集申请人的申请信息后，呈报教育部门审核，审核符合资格后发放学位补贴。,新增,已答复
35,招生政策在哪里可以看到？,,您可以登录松山湖管委会官网教育专题频道（网址https://ssl.dg.gov.cn/jy）查看，或者关注“创新松山湖”、“松山湖市民中心”公众号了解最新咨询，也咨询松山湖招生服务热线：0769-38881212转1咨询了解。,修改,
36,哪些人可以在松山湖申请中小学学位？,,"【按类别】A类，适龄学童是松山湖户籍，不论是家庭户籍还是集体户籍，均可以享受免费义务教育；B类，适龄学童户籍不在松山湖或不在东莞，家长一方（或双方）在园区工作，达到相应的条件，具体条件以官网公布的政策为准；C类，适龄学童户籍不在东莞，家长一方（或双方）在松山湖工作或者房产、户籍在松山湖，可以参加东莞市积分入学。同时符合B类和C类条件的学童，可以同时申请。
【按年级】
（一）小学一年级：年满6周岁（即2018年8月31日及以前出生），在全国中小学生学籍信息管理系统没有学籍信息的适龄儿童；
     小学二至五年级：必须在6周岁入学的基础上符合相对应年级的入学年龄。
（二）初中一年级：在全国中小学生学籍信息管理系统有正常学籍的小学应届毕业生。
      初中二年级：要与原就读年级相衔接。
注意：已在义务教育阶段学校就读的申请人，不能申请留级重读，如发现此类情况，将取消其申请资格；公办中小学不接受以下人员申请转学：往年已向松山湖申请了同一学段学位并安排了免费义务教育学位的人员(含政府购买的公民办学校学位)。",修改,
37,B3、C类和A2集体户籍积分，请问有什么区别？,,"B3类企业积分制人才：是园区针对在园工作人员设置的优惠政策，旨在解决在园区工作人员子女入学问题。因此申请对象为家长一方或双方在园区工作，学童户籍非松山湖，且达到纳税、学历、工作年限等要求。每年可提供的学位数量有限。
C类东莞市积分制人员：是指东莞市的积分入学，申请对象为父母一方服务地或户籍在松山湖，或父母在松山湖拥有产权清晰的自有居所的非东莞户籍学童。以上两种积分方式均提供一定数量的公办学位和补贴学位，根据分数高低获得公办学位。不是所有参加积分报名的人员都可以获得公办学位。
A2类集体户籍学童：A2类为松山湖集体户籍人员学位安排按照积分优先再志愿优先的原则。松山湖教育部门会保障松山湖户籍学童公办学位，学位安排原则按照当年最新政策为准。",修改,
38,如何在松山湖申请公办幼儿园学位？,,"1、入学对象 ：幼儿园小班：2020 年 9 月 1 日-2021 年 8 月 31 日（含） 出生，其中公办、普惠性幼儿园限 A 类和 B2 类人员报读。
2、报名流程：1.单位帐号申请 A2、B 类人员个人报名前，所在单位需在“松山湖入学管理 平台”上注册帐号或更新帐号信息（已有帐号） 2.个人申请幼儿园只需要在松山湖入学管理平台申请 3.教育部门审核完后，单位在系统中打印《2023 年松山湖 中小学、幼儿园入学信息表》，并由负责人签名加盖单位公章， 规定时间内提交纸质资料到松山湖市民中心入学咨询窗口。",修改,
39,新到松山湖工作，小孩可以转学么？什么时候报名？,,松山湖每年秋季入学报名时间大概为当年的4-5月份，当年9月份入学，其他时间不受理报名。转学以有学位空余为前提，根据当年入学政策，园区内学位不足需安排在园区外购买的公办学位服务。如需更多帮助可致电松山湖入学咨询服务热线：0769-38881212 转 1,修改,
40,在松山湖购房能否报读松山湖中小学校？,,购房后如果符合以下条件之一者即可申请：A类，购房户学童户籍迁入该房产；B类，在松山湖企事业单位工作人员的子女，需符合相关优待政策（优才卡）；C类，松山湖内符合积分入学条件的随迁子女。详情以每年的招生文件为准。,修改,
41,小孩在老家未到法定入学年龄入学，能否在松山湖申请转学？,,松山湖户籍人员未满6周岁在外地入学，申请小学转学时需降级到与年龄相对应的年级，即截止到当年8月31日，如果年满7周岁可以转学到二年级，其他年级以此类推。小学毕业可以申请初一年级，不受年龄限制。非东莞户籍人员若未满6周岁在外地入学，不能申请转入东莞就学。,修改,
42,父母双方是松山湖户籍或者父母一方为松山湖户籍，孩子是香港户籍的怎样入学？,C类（东莞市积分制入学）,符合政策可申请优待政策或参加东莞市积分入学，可关注“创新松山湖”或“东莞市教育局-招考通”微信公众号了解相关信息。,修改,
43,我的孩子满足了读中班的年龄，在中班没有名额的情况下可以申请小班吗,,不可以，孩子要读适合年龄段的班级。,修改,
44,父母居住证在园区，母亲不在园区工作，父亲目前无业，可以用父亲申请园区学位吗？,,可以通过东莞市积分制入学进行申请，具体请参考当年公布的入学政策，可关注“东莞市教育局-招考通”微信公众号了解相关入学信息。,修改,
45,小孩在市内其他镇街一所公办小学读二年级，可以转入松山湖的学校吗？,,如果符合松山湖的入学政策则可以在松山湖申请转学。具体请查看松山湖当年公布的入学政策。其中A类、B类符合松山湖的入读条件则可以在“松山湖入学管理平台”申请转学到当年政策公布可以接受转学相对应的年级，C类符合松山湖的入读条件可以参加东莞市积分入学。可参考当年最新入学政策。,修改,
46,台湾籍子女入学怎样申请？,,"台湾籍学童参照B2类人员申请及提交相关资料，准备的申请材料包括:
1监护人签署的《东莞市台湾学生入学申请书>、《台湾学生就读义务教育阶段学校申请表》
2，学生与监护人的户籍腾本、台湾身份证和大陆公安机关签发的<台湾居民来往大陆通行证》
3，台籍监护人在我市就业或投资的相关证明。包括不限于营业执照、社保缴费洁单、纳税洁单、工资单、劳动合同或事业单位聘用合同等)，其中社保及个税要求近三年的缴纳清单，社保及个税要求必须在所在单位缴纳。4，转学学生提供在读证明(原件)。
5.法定监护人没有监护能力或因故不能随行照料就读子女的，须依法委托其他监护人负责就读子女的照料，除需提交上述材料外，还需提交如下材料;经公证机关公证的书面委托书、双方签订的委托监管协议文本:委托监护人的身份证明、户籍证明的原件和复印件。
以上资料统一在松山湖入学管理平台上传，且申请家长方要在园区工作满半年以上",修改,
47,华人华侨子女如何申请园区学位？,,关于父（母）一方在园区工作的华人华侨学童，按照 《关于修订华侨华人子女及华侨学生在我市就读有关规定的通 知》实施，华人华侨学童需到市侨务局办理申请登记，登记之后 市外事侨务局将会把资料移送市教育局，市教育局审核之后将符 合条件人员发送园区教育部门，园区教育部门收到名单后统筹安排学位,修改,
48,在松山湖报名读书需要什么资料？,,"不同类别人员提交资料不同，主要资料包括：
（1）父母及就读学童的户口簿（含有地址栏的户主页）、身份证和就读学童的出生证；
（2）就读学童在读证明，现就读学校开具（报读非起始年级必需，幼儿园、小学一年级和初中一年级可不提供）；
（3）房产证明（房地产权证、不动产权证或已办理合同备案的购房合同）；
（4）学历（或学位）证书及大专以上学历（或学位）验证证明，或职称证书。学历、学位或职称取最高一个即可；
（5）申请入学报名的“家长方”近两年《参保人险种缴费明细表》（需打印2年以上的参保记录，其中B3积分人员大专学历的需打印5年以上，截至2023年4月30日）或在编在职工作证明；
（6）申请入学报名的“家长方”2020-2022年度《中华人民共和国个人所得税纳税记录》（原《税收完税证明》）（可通过个人所得税APP下载，或税务局、自助服务机等查询打印），并仅填写在松山湖缴纳的个人所得税金额；
（7）申请入学报名的“家长方”在编在职工作证明或《参保人险种缴费明细表》（需打印1年以上的参保记录）；
（8）人才证明。
详情以每年的招生文件为准。",修改,
49,纳税在松山湖，社保交在深圳，需要到深圳社保局打印社保缴费清单吗？,,通过松山湖企事业人才优待政策（B类）申请入学，报名“家长方”的社会保险缴纳单位须为园区内的企业，且与现工作单位保持一致。报名“家长方”的个人所得税缴纳地点必须为东莞市松山湖高新技术产业开发区。,修改,已更新到2023年
50,报名需要提交计划生育证明吗？,,A、B、C类人员报名均不需要提交计划生育证明。,修改,
51,通过企业B3类条件申请，是否要求在园区居住或办理园区居住证？,,2023年起，非东莞市户籍学童申请家长方必须拥有广东省东莞市有效的居住证才能报名，东莞户籍的申请方家长无需办理。,修改,已更新到2023年
52,符合D类补贴申请的条件有哪些？,,从 2022 年起园区不再设 D 类人员补贴新增名额，往年符合 D 类补贴条件并在 2021 年已进行顺延性申请的，可以继 续申领至该学段结束。若已在市内其他镇街领取了东莞市积分入学补贴或其他学位补贴，不可重复领取园区 D 类补贴。若申领了 松山湖 D 类人员补贴，则须放弃申领其他镇积分入学补贴或其他学位补贴的资格。,修改,
53,什么是自选民办学校补贴？,,松山湖户籍学童若自愿放弃报读园区义务教育阶段公办学校，或因学位不足，未能录取到园区公办学校，可自行选择民办学校就读，并领取学位补贴。补贴以入读民办学校的学费按实领取，最高不超过 1.5 万元/年（含免费义务教育公用经费补助、 免费义务教育教科书补助及其他学位补贴）。若学童已报读园区公办学校并被录取后自行放弃公办学校学位，则不纳入该补贴范 围。该项补贴涵括义务教育阶段所有年级学生。,修改,
54,自选民办学校补贴资格申请需如何操作？,,"报名所需材料：
1.家长和就读子女户口本;
2.为子女申请入学家长方的银行存折账号(含开户名、账户、开户行信息)，建议使月农业银行的银行卡，开户行必
须具体到支行，否则会影响银行汇款;
3.现就读学校收费凭证，包括第一学期和第二学期收费凭证(上传原件)
补贴申请方式：
松山湖户籍学童若自愿放弃报读园区义务教育阶段公办学校（含所有年级），须在“东莞市义务教育阶段统一招生平台”或“松山湖入学管理平台”报名时，第一志愿选择“自选民办学校补贴”。",修改,
55,我在申请入学前入户松山湖家庭户，是不是就可以给我的孩子申请入学？,,"A 类户籍人员在当年入学报名截止前前入户（含结束当天）并按要求在市及园区入学平台报名的，按本入学政策规定安排公办学位或补贴；在报名截止日至 2023 年 6 月
30 日入户的，由家长自行联系市内民办学校补录及入读，并向松山湖教育部门提交申请资料，入读后可领取自选民办学位补贴；2023 年 7 月 1 日后入户原则上纳入下一年招生。松山湖义务教育阶段学校招生工作于一般于每年4-5月进行，适龄学童在此报名截止时间前入户成功可申请入学，具体情况可登录松山湖入学管理平台（ 网 址：https://ssl.dg.gov.cn/rx）公告栏信息栏查看。",修改,
56,申请公办幼儿园的年龄要求？,,您好，幼儿园申请需年满3周岁方可申请，2024年的幼儿园小班的入学对象为：2020 年 9 月 1 日-2021 年 8 月 31 日（含）出生，具体详情可关注松山湖入学管理平台（ 网 址：https://ssl.dg.gov.cn/rx）了解相关信息。,修改,
57,孩子是香港/澳门户籍，父母服务地/居住地/户籍地在松山湖或在松山湖拥有产权清晰的自有居所，如何申请入学？,,您好，符合政策可申请优待政策（优才卡）或参加东莞市积分入学，可关注“松山湖入学管理平台”（网址：https://ssl.dg.gov.cn/rx）了解相关信息。,修改,
58,台湾子女入学政策是怎么样的呢？,,您好，台湾子女入学根据《关于做好台湾学生申请就读我市义务教育阶段学校工作的通知》执行，该通知2019年3月28日起施行。可关注“松山湖入学管理平台（ 网 址：https://ssl.dg.gov.cn/rx）了解相关信息。,修改,
59,我是集体户，小孩现在松山湖实小就读，如小初升时需要重新申请吗？如果我不在松山湖工作了还能申请到吗？,,您好，松山湖每年招生工作计划在每年4-5月报名，小学升初中需要重新报名，松山湖户籍类学童的父母不在园区内工作的可按A3类报名申请，具体详情关注松山湖入学管理平台（ 网 址：https://ssl.dg.gov.cn/rx）了解相关政策。,修改,
60,松山湖中小学校每年什么时候招生？,,您好，松山湖义务教育阶段学校招生工作于一般于每年4-5月进行，或关注松山湖入学管理平台（ 网 址：https://ssl.dg.gov.cn/rx）了解相关政策,修改,
61,关于松山湖家庭户籍小孩非起始年级自选民办学校补贴问题,,您好，根据《2022年松山湖中小学、幼儿园入学申请指南》，民办学位补贴没有限制申请年级，可按照政策进行申请。,修改,
62,已经申请了补贴，是不是可以不用再做操作？,,已成功申请自选民办补贴的学童，在同一学段内不需要再进行申领资格的申请。但是在领取补贴的时候需要登录松山湖入学管理平台申领补贴板块申领。如有疑问请咨询松山湖管委会，电话：0769-38881212 转 1。,修改,
63,A1类：小孩户籍在松山湖，家长在松山湖有房产，而且户口落在房产所需资料？,,"（1）父母及就读学童的户口簿（包括有地址栏的户主页）、身份证（正反面）和就读学童的出生证；
（2）就读学童在读证明，现就读学校开具（报读非起始年级必需，幼儿园、小学一年级和初中一年级可不提供）；
（3）房产证明（房地产权证、不动产权证或已办理合同备案的购房合同）。",修改,
64,A2类：礼宾路2号人才集体户人员所需资料？,,"（1）父母及就读学童的户口簿（含有地址栏的户主页）、身份证和就读学童的出生证；
（2）就读学童在读证明，现就读学校开具（报读非起始年级必需，幼儿园、小学一年级和初中一年级可不提供）；
（3）房产或居住证明（房地产权证、不动产权证或已办理合同备案的购房合同），在东莞市没有自有房产的，出具《无房证明》；
（4）学历（或学位）证书及大专以上学历（或学位）验证证明，或职称证书。学历、学位或职称取最高一个即可；
(5)申请入学报名的“家长方”近两年《参保人险种缴费明细表》(需打印2年以上的参保记录，其中B3积分人员大专学历的需打印5年以上，截至2024年4月30日)或在编在职工作证明;
(6)申请入学报名的“家长方”2021-2023年度<中华人民共和国个人所得税纳税记录》(原《税收完税证明>)(可通过个人所得税APP下载，或税务局、自助服务机等查询打印)，并仅填写在松山湖缴纳的个人所得税金额;",修改,
65,A2类：单位集体户人员：小孩户口在松山湖，家长目前在松山湖工作，家长和小孩户口落在工作单位集体户所需资料？,,"（1）父母及就读学童的户口簿（含有地址栏的户主页）、身份证和就读学童的出生证；
（2）就读学童在读证明，现就读学校开具（报读非起始年级必需，幼儿园、小学一年级和初中一年级可不提供）；
（3）房产或居住证明（房地产权证、不动产权证或已办理合同备案的购房合同），在东莞市没有自有房产的，出具《无房证明》；
（4）学历（或学位）证书及大专以上学历（或学位）验证证明，或职称证书。学历、学位或职称取最高一个即可；
(5)申请入学报名的“家长方”近两年《参保人险种缴费明细表》(需打印2年以上的参保记录，其中B3积分人员大专学历的需打印5年以上，截至2024年4月30日)或在编在职工作证明;
(6)申请入学报名的“家长方”2021-2023年度<中华人民共和国个人所得税纳税记录》(原《税收完税证明>)(可通过个人所得税APP下载，或税务局、自助服务机等查询打印)，并仅填写在松山湖缴纳的个人所得税金额;",修改,
66,机关事业单位工作人员：即机关事业单位在编在职人员子女所需资料?,,"（1）父母及就读学童的户口簿（含有地址栏的户主页）、身份证和就读学童的出生证；
（2）就读学童在读证明，现就读学校开具（报读非起始年级必需，幼儿园、小学一年级和初中一年级可不提供）；
（3）在园工作父（母）一方在编在职工作证明或《参保人险种缴费明细表》（需打印1年以上的参保记录）；
（4）学历（或学位）证书及大专以上学历（或学位）验证证明，或中级以上职称证书。学历、学位、或职称取最高一个即可.",修改,
67,小孩户口在国内非东莞市，家长在园区工作，工作时间一年以上，且所在单位根据有关规定具有入学指标，家长获得此入学指标。具体是否有指标请咨询所在企业（单位）。所需资料?,,"小孩户口在国内非东莞市，家长在园区工作，工作时间一年以上，且所在单位根据有关规定具有入学指标，家长获得此入学指标。具体是否有指标请咨询所在企业（单位）。所需资料如下：（1）父母及就读学童的户口簿（含有地址栏的户主页）、身份证和就读学童的出生证；
（2）就读学童在读证明，现就读学校开具（报读非起始年级必需，幼儿园、小学一年级和初中一年级可不提供）；
（3）学历（或学位）证书及大专以上学历（或学位）验证证明，或职称证书。学历、学位或职称取最高一个即可；
（4）申请入学报名的“家长方”近两年《参保人险种缴费明细表》（需打印2年以上的参保记录，其中B3积分人员大专学历的需打印5年以上，截至2024年4月30日）或在编在职工作证明；
（5）申请入学报名的“家长方”2021-2023年度《广东省地方税务局个人所得税完税证明》和《广东省地方税务局个人所得税纳税清单》（可通过税务局或自助服务机等查询打印），并仅填写在松山湖缴纳的个人所得税金额；",修改,
